descricao,correto,insumo_1
30 CAP | BUPROPIONA CLORIDRATO  150MG,39.9,BUPROPIONA CLORIDRATO
60 CAP | VITAMINA D LIQ CAP ATE 15MIL  5000UI; VITAMINA A OLEOSA ORAL  1000UI; VITAMINA K2 LIQ SOL MAE  100MCG,44.0,VITAMINA D LIQ CAP ATE 15MIL
90 CAP | MAGNESIO DIMALATO  400MG,70.0,MAGNESIO DIMALATO
60 CAP | SELENIO QUELADO  100MCG; ASCORBATO DE CALCIO  500MG; MIX TOCOTRIENOIS  60MG; VITAMINA D  10000UI; VITAMINA A  2000UI; RIBOFLAVINA  20MG; NIACINAMIDA FLUSH FREE  30MG; N ACETIL L CISTEINA  400MG; ZINCO GLICINA  10MG; COBRE GLICINA 0.500MG; FERRO GLICINA  50MG; MAGNESIO DIMALATO  400MG,221.5,SELENIO QUELADO
50 CAP | TRIBULUS TERRESTRIS EXT SECO  300MG,43.6,TRIBULUS TERRESTRIS EXT SECO
30 CAP | 5HTP  50MG,40.7,5HTP
60 CAP | HIPERICUM PERFORATUM  300MG,55.3,HIPERICUM PERFORATUM
90 CAP | VITAMINA D3   4000UI,49.5,VITAMINA D3
120 CAP | GINKGO BILOBA  120MG,90.8,GINKGO BILOBA
30 CAP | TRIPTOFANO  500MG,78.3,TRIPTOFANO
40 CAP | CETOPROFENO  30MG; FAMOTIDINA  20MG; DEFLAZACORT  2MG; CICLOBENZAPRINE 2.500MG,57.6,CETOPROFENO
30 CAP | MAGNESIO QUELADO 30%  200MG,39.9,MAGNESIO QUELADO 30%
120 CAP | VITAMINA D LIQ 40.000UI/ML  10000UI,70.0,VITAMINA D LIQ 40.000UI/ML
30 CAP | MELATONINA SLOW RELEASE  3MG; ZINCO QUELADO 8.700MG; SELENIO QUELADO  50MCG,45.6,MELATONINA SLOW RELEASE
60 CAP | CURCUMINA  1G; PIPERINA  5MG,229.4,CURCUMINA
60 CAP | INOSITOL  4G,191.8,INOSITOL
60 CAP | CRAMBERRY  500MG,145.4,CRAMBERRY
30 CAP | EXSYNUTRIMENT-SILICIO ORGANICO  100MG; BIO ARTC  100MG,182.0,EXSYNUTRIMENT-SILICIO ORGANICO
30 CAP | NUTRICOLIN  300MG,162.8,NUTRICOLIN
60 CAP | MOROSIL  300MG; CACTIN  200MG; PICOLINATO DE CROMO  20MCG,190.7,MOROSIL
30 CAP | L TIROSINA  200MG; TIROXINA  38MCG; TRIIODOTIRONINA (T3)   9MCG,39.9,L TIROSINA
30 CAP | PRASTERONA  25MG,101.6,PRASTERONA
60 CAP | ANFEPRAMONA  60MG,300.4,ANFEPRAMONA
60 CAP | ORLISTAT  120MG,134.3,ORLISTAT
120 CAP | N ACETIL L CISTEINA  600MG,133.1,N ACETIL L CISTEINA
120 CAP | VITAMINA D LIQ CAP ATE 15MIL  7000UI; VITAMINA K2 LIQ SOL MAE  100MCG,62.0,VITAMINA D LIQ CAP ATE 15MIL
30 CAP | COLAGENO TIPO 2  40MG; DIACEREINA  50MG,87.1,COLAGENO TIPO 2
240 CAP | CASSIOLAMINA EXTRACT  200MG; CROMO PICOLINATO  150MCG; FASEOLAMINA  200MG; GARCINIA CAMBOJA EXT SECO  300MG,191.2,CASSIOLAMINA EXTRACT
6 CAP | ALBENDAZOL  400MG,39.9,ALBENDAZOL
2 CAP | SECNIDAZOL  1G,39.9,SECNIDAZOL
240 CAP | TRIIODOTIRONINA (T3) 1:1000  8MCG,49.5,TRIIODOTIRONINA (T3) 1:1000
30 CAP | RECOMPOSITOR MICROB POTEN CAPS  30UN,76.6,RECOMPOSITOR MICROB POTEN CAPS
120 CAP | HIDROCORTISONA BASE  30MG,189.4,HIDROCORTISONA BASE
30 CAP | MAGNESIO DIMALATO  250MG,40.0,MAGNESIO DIMALATO
30 CAP | VITAMINA D  4000UI; VITAMINA K2 MK7  100MCG,40.0,VITAMINA D
150 CAP | CORTISOL BIOIDENTICO  5MG,58.9,CORTISOL BIOIDENTICO
60 CAP | CARDO MARIANO  500MG,84.0,CARDO MARIANO
60 CAP | MAGNESIO DIMALATO  200MG; TIAMINA  50MG; RIBOFLAVINA  50MG; ACIDO PANTOTENICO  25MG; PIRIDOXAL-5-FOSFATO  10MG; METILFOLATO  200MCG; METILCOBALAMINA  200MCG; CROMO GTF  100MCG; ZINCO QUELATO  10MG; SELENIO QUELATO  50MCG; ACIDO ALFA LIPOICO  150MG,152.1,MAGNESIO DIMALATO
30 CAP | ACIDOPHILUS LACTOBACILLUS  100MG; BIFIDOBACTERIUM LONGUM  50MG; LACTOBACILLUS GASSERI  30MG; PLANTARIUM LACTOBACILLUS  50MG; BIFIDOBACTERIUM BREVE  100MG; XOS (XILOOLIGOSSACARIDEOS)  200MG,51.6,ACIDOPHILUS LACTOBACILLUS
30 CAP | VITAMINA D3  50000UI,64.6,VITAMINA D3
30 CAP | TEACRINE  100MG; MAGNESIO TREONATO  300MG; TAURINA  200MG; FOSFATIDIL SERINA  50MG,136.8,TEACRINE
60 CAP | L THEANINA  200MG,63.9,L THEANINA
30 CAP | VITAMINA D LIQ CAP ATE 15MIL  6000UI,39.9,VITAMINA D LIQ CAP ATE 15MIL
30 CAP | OLEO DE OREGANO  250MG,39.9,OLEO DE OREGANO
120 CAP | CRAMBERRY EXT SECO  500MG,252.3,CRAMBERRY EXT SECO
60 CAP | BIFIDOBACTERIUM BREVE  100MG; BIFIDOBACTERIUM INFANTIS  100MG; BIFID LACTIS/ ANIMALS  200MG; BIFIDOBACTERIUM LONGUM  100MG,95.5,BIFIDOBACTERIUM BREVE
60 CAP | N ACETIL L CISTEINA  250MG,44.4,N ACETIL L CISTEINA
90 CAP | VITAMINA A  600MCG; VITAMINA D  5MCG; TIAMINA 1.200MG; RIBOFLAVINA 1.300MG; NIACINA NO FLUSH  16MG; ACIDO PANTOTENICO  5MG; VITAMINA B6 1.300MG; BIOTINA  30MCG; ACIDO FOLICO  240MCG; VITAMINA B12 2.400MCG; VITAMINA C  45MG; VITAMINA E  10MG; FERRO   14MG; ZINCO  7MG; MAGNESIO   130MG; EXSYNUTRIMENT-SILICIO ORGANICO  50MG,175.1,VITAMINA A
30 CAP | VITAMINA D LIQ CAP ATE 15MIL  10000UI,39.9,VITAMINA D LIQ CAP ATE 15MIL
120 CAP | MAGNESIO QUELADO COM GLICINA  125MG,49.5,MAGNESIO QUELADO COM GLICINA
30 CAP | TADALAFIL  5MG,39.9,TADALAFIL
90 CAP | RHODIOLA ROSEA EXT SECO  150MG; ASHWAGANDHA EXTRATO  150MG,94.2,RHODIOLA ROSEA EXT SECO
90 CAP | DHEA PO  25MG,254.1,DHEA PO
30 CAP | QUERCETINA  500MG,76.0,QUERCETINA
60 CAP | CETIRIZINE  10MG,52.5,CETIRIZINE
60 CAP | BIOTINA  5MG; FERRO QUELADO  15MG,56.9,BIOTINA
90 CAP | T3  5MCG,47.4,T3
90 CAP | VITAMINA D  10000UI; VITAMINA A  1000UI,47.4,VITAMINA D
90 CAP | T4  25MCG; T3  5MCG,47.4,T4
30 CAP | MOROSIL  400MG,110.5,MOROSIL
120 CAP | GABA  300MG,112.1,GABA
60 CAP | DIACEREINA  50MG; COLAGENO TIPO 2  40MG; BOSWELLIA SERRATA  250MG,201.6,DIACEREINA
60 CAP | PHENIBUT  100MG,112.1,PHENIBUT
60 CAP | RESVERATROL  50MG,77.3,RESVERATROL
60 CAP | CRAMBERRY EXT SECO  400MG; VITAMINA C  500MG,139.9,CRAMBERRY EXT SECO
60 CAP | T4  25MCG; T3  5MCG,43.6,T4
30 CAP | T3  10MCG,39.9,T3
10 CAP | IVERMECTINA  6MG,39.9,IVERMECTINA
60 CAP | ANASTROZOL 1:10 0.500MG,53.0,ANASTROZOL 1:10 0.
60 CAP | SIBUTRAMINA CLORIDRATO  15MG,78.0,SIBUTRAMINA CLORIDRATO
120 CAP | BUPROPIONA CLORIDRATO  100MG,65.0,BUPROPIONA CLORIDRATO
60 CAP | VITAMINA D3 1:100  4000UI,43.6,VITAMINA D3 1:100
120 CAP | VITAMINA D LIQ CAP ATE 15MIL  10000UI; VITAMINA K2 SOL MAE  60MCG,68.4,VITAMINA D LIQ CAP ATE 15MIL
30 CAP | VITAMINA D LIQ CAP ACIMA 15MIL  20000UI; VITAMINA A OLEOSA ORAL  2000UI; VITAMINA K2 LIQ SOL MAE  200MCG,40.0,VITAMINA D LIQ CAP ACIMA 15MIL
60 CAP | COENZIMA Q10 PO  200MG; PQQ  5MG; COMPLEXO B 50MG  50MG,233.6,COENZIMA Q10 PO
60 CAP | PROGESTERONA BASE  20MG,43.6,PROGESTERONA BASE
60 CAP | CORTISOL BIOIDENTICO  20MG; PRASTERONA  20MG,206.6,CORTISOL BIOIDENTICO
60 CAP | CROMO GTF  100MCG; VANADIO QUELADO  100MCG; BIOTINA 0.500MG; ACIDO ALFA LIPOICO  350MG,112.0,CROMO GTF
30 CAP | VITAMINA B12  5000MCG,69.0,VITAMINA B12
60 CAP | LEVEDO DE CERVEJA  500MG,43.6,LEVEDO DE CERVEJA
30 CAP | VITAMINA D LIQ CAP ATE 15MIL  10000UI; VITAMINA K2 LIQ SOL MAE  100MCG,39.9,VITAMINA D LIQ CAP ATE 15MIL
60 CAP | GRIFFONIA SIMPLICIFOLIA  100MG; MELISSA OFFICINALIS  150MG; PASSIFLORA INCARNATA  100MG; ERYTHRINA VELLUNTIA  200MG,119.9,GRIFFONIA SIMPLICIFOLIA
60 CAP | GARCINIA CAMBOJA  150MG; CAMELIA SINENSIS  300MG; CITRUS AURANTIUM   300MG; CROMO PICOLINATO  200MCG,101.9,GARCINIA CAMBOJA
60 CAP | VITAMINA D   6000UI; VITAMINA K2 MK7  50MCG,43.6,VITAMINA D
60 CAP | DIACEREINA  50MG; TC II  40MG; BOSWELLIA SERRATA  250MG,201.9,DIACEREINA
60 CAP | MOROSIL  300MG; ALTILIX   50MG; CACTIN  200MG; FIBREGUM   500MG,261.2,MOROSIL
60 CAP | 5-HTP  150MG; MELISSA   150MG; PASSIFLORA  100MG; ERYTHRINA  200MG,159.7,5-HTP
30 CAP | ACIDOPHILUS LACTOBACILLUS  100MG; RHAMNOSUS LACTOBACILLUS  50MG; DELBRUECKII LACTOBACILLUS  50MG; CRISPATUS LACTOBACILLUS   100MG; PLANTARUM LACTOBACILLUS  50MG; BIFIDOBACTERIUM INFANTIS  50MG; BIFIDOBACTERIUM LONGUM  50MG,53.2,ACIDOPHILUS LACTOBACILLUS
60 CAP | CURCUMA LONGA  500MG; PIPERINA  10MG,146.7,CURCUMA LONGA
60 CAP | T3  8MCG; T4  35MCG,43.6,T3
120 CAP | T3  8MCG,49.5,T3
270 CAP | BIOTINA  5MG,195.0,BIOTINA
20 CAP | DEFLAZACORT  8MG; TRAMADOL CLORIDRATO 37.500MG; CICLOBENZAPRINE 2.500MG; FAMOTIDINA  10MG; PARACETAMOL  200MG,67.4,DEFLAZACORT
90 CAP | VITAMINA D OLEOSA  10000UI; VITAMINA A OLEOSA  1000UI,61.8,VITAMINA D OLEOSA
9 CAP | IVERMECTINA  6MG,39.9,IVERMECTINA
30 CAP | DOXEPINA CLORIDRATO  3MG,40.0,DOXEPINA CLORIDRATO
30 CAP | VITAMINA D LIQ CAP ACIMA 15MIL  90000UI,95.8,VITAMINA D LIQ CAP ACIMA 15MIL
120 CAP | VITAMINA D LIQ   10000UI,68.3,VITAMINA D LIQ
90 CAP | CITRUS AURANTIUM EXT SECO  200MG; CAMELLIA SINENSIS  400MG; CAPSICUM ANNUUM  6MG; ZINGIBER OFFICINALIS   200MG; CAFEINA BASE ANIDRA  200MG,219.8,CITRUS AURANTIUM EXT SECO
30 CAP | TIROXINA  50MCG; TRIIODOTIRONINA (T3) 1:1000  10MCG,39.9,TIROXINA
15 CAP | VITAMINA K1  15MG,39.9,VITAMINA K1
60 CAP | T3  10MCG; POLIFENOIS DE CAMELIA SINENSIS  100MG; EUTERPE OLERACEA EXT SECO  100MG,52.6,T3
30 CAP | BIOSIL  520MG,193.0,BIOSIL
60 CAP | ACIDOPHILUS LACTOBACILLUS  200MG; RHAMNOSUS LACTOBACILLUS  100MG; ACIDO FERULICO  15MG; EUTERPE OLERACEA EXT SECO  100MG; FRUTOLIGOSSACARIDEO  100MG; LACTOBACILLUS BIFIDUM  200MG; BULGARICUS LACTOBACILLUS  200MG,178.7,ACIDOPHILUS LACTOBACILLUS
30 CAP | EQUINACEA EXT SECO  200MG; ZINCO QUELADO  30MG; VITAMINA C REVESTIDA  200MG; QUERCETINA  200MG,60.7,EQUINACEA EXT SECO
2 CAP | IVERMECTINA  6MG,39.9,IVERMECTINA
90 CAP | VITAMINA C   1G,84.0,VITAMINA C
30 CAP | VITAMINA D  4000UI,39.9,VITAMINA D
20 CAP | NIMESULIDE  100MG,40.0,NIMESULIDE
12 CAP | ACIDO FOLINICO  50MG,99.1,ACIDO FOLINICO
60 CAP | LACTASE  400MG,113.6,LACTASE
120 CAP | BUPROPIONA CLORIDRATO  90MG; NALTREXONA HCL  4MG,119.1,BUPROPIONA CLORIDRATO
180 CAP | T3 SLOW RELEASE  7MCG,56.6,T3 SLOW RELEASE
120 CAP | ACIDO TRANEXAMICO  250MG; BIOTINA 2.500MG,211.6,ACIDO TRANEXAMICO
90 CAP | T4  35MCG,47.4,T4
30 CAP | GASSERI LACTOBACILLUS  100MG; REUTERI LACTOBACILLUS  60MG; ACIDOPHILUS LACTOBACILLUS  400MG; BULGARICUS LAC/PARACASEI  135MG; RHAMNOSUS LACTOBACILLUS  50MG; DELBRUECKII LACTOBACILLUS  50MG; HELVETICUS LACTOBACILLUS  50MG; FAECIUM LACTOBACILLUS  70MG; BIFIDOBACTERIUM BREVE  75MG; BIFIDOBACTERIUM LONGUM  70MG; BIFIDOBACTERIA BIFIDUM  100MG; BIFIDOBACTERIUM LACTIS  300MG; PRETICX  300MG,142.6,GASSERI LACTOBACILLUS
30 CAP | BIFIDOBACTERIUM LONGUM  50MG; BIFIDOBACTERIUM LACTIS  30MG; BIFIDOBACTERIUM INFANTIS  50MG; ACIDOPHILUS LACTOBACILLUS  50MG; DELBRUECKII LACTOBACILLUS  20MG; JOHNSONII LACTOBACILLUS  60MG; PLANTARUM LACTOBACILLUS  30MG; RHAMNOSUS LACTOBACILLUS  50MG; STREPTOCOCCUS TERMOPHILUS  50MG; SOD  10MG; XOS (XILOOLIGOSSACARIDEOS)  100MG,63.1,BIFIDOBACTERIUM LONGUM
180 CAP | HEXANICOTINATO DE INOSITOL  500MG,279.0,HEXANICOTINATO DE INOSITOL
500 CAP | CITRATO DE SODIO  300MG,106.0,CITRATO DE SODIO
60 CAP | TOPIRAMATO  25MG,59.2,TOPIRAMATO
60 CAP | CURCUMINA   600MG; PIPERINA  5MG,146.6,CURCUMINA
60 CAP | CRAMBERRY EXT SECO  400MG,119.9,CRAMBERRY EXT SECO
90 CAP | VITAMINA A ACETATO 1:10  50000UI,48.0,VITAMINA A ACETATO 1:10
60 CAP | VIT D3 CAP OLEOSA  10000UI,45.6,VIT D3 CAP OLEOSA
60 CAP | CROMO PICOLINATO  500MCG,44.0,CROMO PICOLINATO
30 CAP | SILIMARINA  200MG,40.0,SILIMARINA
60 CAP | PHOLIAMAGRA  150MG; ADVANTRA  150MG; IOIMBINA CLORIDRATO  3MG; ACIDO ALFA LIPOICO  150MG; VIT B6  10MG; CLORTALIDONA 6.500MG; SELENIO QUELADO  100MCG; FAMOTIDINA  10MG,132.1,PHOLIAMAGRA
30 CAP | AJUGA TURKESTANICA  300MG; RHODIOLA ROSEA  200MG; BORO QUELADO  5MG,81.5,AJUGA TURKESTANICA
60 CAP | PHELLODENDRON AMURENSE  250MG; SILIMARINA  250MG,156.4,PHELLODENDRON AMURENSE
30 CAP | VITAMINA D3   5000UI,40.0,VITAMINA D3
120 CAP | ACIDO TRANEXAMICO  200MG; BIOTINA 1:10 2.500MG,178.9,ACIDO TRANEXAMICO
30 CAP | T4  70MCG; T3  10MCG; CORTISOL BIOIDENTICO  10MG; TIROSINA  150MG,48.4,T4
60 CAP | CROMO PICOLINATO  300MCG; 5-HTP  100MG,101.6,CROMO PICOLINATO
60 CAP | MAGNESIO DIMALATO  120MG,43.6,MAGNESIO DIMALATO
90 CAP | VITAMINA A  1000UI; VITAMINA D3 1:100  10000UI,48.0,VITAMINA A
70 CAP | BUPROPIONA CLORIDRATO  150MG,59.7,BUPROPIONA CLORIDRATO
60 CAP | DIMETICONE PO  60MG; TRIBULUS TERRESTRIS EXT SECO  300MG; SERTRALINA CLORIDRATO  25MG; SELENIO QUELADO  10MCG; COENZIMA Q10 PO  30MG; ORLISTAT  100MG; PLANTAGO OVATA  120MG,194.6,DIMETICONE PO
90 CAP | BIOTINA   5MG,80.0,BIOTINA
90 CAP | RHAMNOSUS LACTOBACILLUS  100MG; SALIVARIUS LACTOBACILLUS  50MG; PARACASEI LACTOBACILLUS   100MG; BIFIDOBACTERIUM LONGUM  50MG; BIFIDOBACTERIUM LACTIS  100MG; ACIDOPHILUS LACTOBACILLUS  100MG; INULINA  150MG,139.8,RHAMNOSUS LACTOBACILLUS
120 CAP | IOIMBINA CLORIDRATO  10MG,52.0,IOIMBINA CLORIDRATO
30 CAP | GLUTAMINA  10MG; RHODIOLA ROSEA EXT SECO  100MG; ASTRAGALUS EXT SEC  100MG; COENZIMA Q10 PO  50MG; VITAMINA B6  20MG; RESVERATROL  30MG; MAGNESIO TREONATO  300MG; D-RIBOSE  200MG,104.8,GLUTAMINA
60 CAP | IOIMBINA CLORIDRATO  10MG,43.6,IOIMBINA CLORIDRATO
120 CAP | ACIDO ALFA LIPOICO  300MG,157.8,ACIDO ALFA LIPOICO
60 CAP | TERMOLIP  150MG; BEANBLOCK  100MG,271.1,TERMOLIP
120 CAP | VITAMINA D LIQ CAP ATE 15MIL  5000UI,58.0,VITAMINA D LIQ CAP ATE 15MIL
90 CAP | T4  35MCG; T3  7MCG,48.0,T4
180 CAP | VITAMINA D LIQ CAP ATE 15MIL  10000UI; VITAMINA K2 MK-7 - LIQUIDA  100MCG,115.0,VITAMINA D LIQ CAP ATE 15MIL
30 CAP | LS ANTI OX/ WHITE OXY ORAC  200MG; TRIIODOTIRONINA (T3) 1:1000  5MCG,42.0,LS ANTI OX/ WHITE OXY ORAC
30 CAP | LS ANTI OXY/WHITE OXY ORAC   200MG; TIROXINA  25MCG; TRIIODOTIRONINA (T3) 1:1000  5MCG,42.0,LS ANTI OXY/WHITE OXY ORAC
12 CAP | IVERMECTINA  6MG,39.9,IVERMECTINA
60 CAP | VITAMINA D LIQ CAP ATE 15MIL  10000UI; VITAMINA K2 LIQ SOL MAE  60MCG; VITAMINA A OLEOSA ORAL  400UI; VITAMINA E OLEOSA ORAL  200UI,54.8,VITAMINA D LIQ CAP ATE 15MIL
30 CAP | MOROSIL  500MG; DRENOW   500MG,185.4,MOROSIL
90 CAP | FUCUS VESICULOSUS PO  50MG; KELP IODINE EXTRACT 1% 1.500MG,48.8,FUCUS VESICULOSUS PO
30 CAP | MOROSIL  500MG; DRENOW C  500MG,185.4,MOROSIL
60 CAP | TIAMINA  200MG,108.7,TIAMINA
90 CAP | HIDROCORTISONA BASE  3MG,48.8,HIDROCORTISONA BASE
30 CAP | BIFIDOBACTERIUM LACTIS  50MG; BIFIDOBACTERIUM LONGUM  50MG; ACIDOPHILUS LACTOBACILLUS  100MG; HELVETICUS LACTOBACILLUS  50MG; JOHNSONII LACTOBACILLUS  30MG; PLANTARIUM LACTOBACILLUS  70MG; REUTERI LACTOBACILLUS  20MG; SOD  10MG; XOS (XILOOLIGOSSACARIDEOS)  100MG; PARACASEI LACTOBACILLUS   30MG,63.5,BIFIDOBACTERIUM LACTIS
60 CAP | SILIMARINA  150MG,44.0,SILIMARINA
8 CAP | VITAMINA D3 1:100  50000UI,40.0,VITAMINA D3 1:100
8 CAP | HIDROXICLOROQUINA SULFATO  400MG,117.0,HIDROXICLOROQUINA SULFATO
180 CAP | ZINGIBER OFFICINALIS L. ROSCOE  250MG,71.4,ZINGIBER OFFICINALIS L. ROSCOE
120 CAP | FLUOXETINA  40MG,77.0,FLUOXETINA
60 CAP | CICLOBENZAPRINE 2.500MG,43.6,CICLOBENZAPRINE 2.
60 CAP | PEA BIOACTIVE   600MG; BOSWELLIA SERRATA  150MG,192.7,PEA BIOACTIVE
30 CAP | PREGABALINA  75MG,77.7,PREGABALINA
32 CAP | VITAMINA D3   50000UI,43.6,VITAMINA D3
90 CAP | MAGNESIO L-TREONATO  200MG,63.9,MAGNESIO L-TREONATO
14 CAP | CITRATO DE SODIO  200MG,39.9,CITRATO DE SODIO
60 CAP | ATENOLOL  50MG; MALEATO DE ENALAPRIL  20MG; CLORTALIDONA  25MG; ESPIRONOLACTONA 12.500MG,107.0,ATENOLOL
60 CAP | CORTISOL BIOIDENTICO  10MG; TIROSINA  300MG; LIOTIRONINA SODICA  15MCG,111.16,CORTISOL BIOIDENTICO
60 CAP | DIPIRONA  300MG; TRAMADOL CLORIDRATO  40MG; DEFLAZACORT  2MG,86.4,DIPIRONA
40 CAP | PREGABALINA  75MG; FLUOXETINA  40MG; CARISOPRODOL  200MG; CETOPROFENO  50MG,153.4,PREGABALINA
30 CAP | ATENOLOL  20MG; LOSARTAN  50MG; CLORTALIDONA  10MG; ANLODIPINA  3MG,68.0,ATENOLOL
180 CAP | COLAGENO TIPO 2  40MG,216.7,COLAGENO TIPO 2
60 CAP | MACA  400MG,92.3,MACA
30 CAP | CARBONATO DE CALCIO PESADO  500MG,39.9,CARBONATO DE CALCIO PESADO
30 CAP | SILIMARINA  400MG; SAW PALMETO EXT SECO  400MG; PINUS PINASTER EXTRACT  100MG; RESVERATROL  50MG,102.5,SILIMARINA
30 CAP | MOROSIL  500MG,134.9,MOROSIL
30 CAP | IMUNO TF  10MG,55.0,IMUNO TF
30 CAP | VITAMINA D LIQ CAP ACIMA 15MIL  100000UI,111.6,VITAMINA D LIQ CAP ACIMA 15MIL
30 CAP | ZOLPIDEM   5MG,39.9,ZOLPIDEM
30 CAP | TIMOMODULINA EXTRATO  60MG; CETIRIZINA  5MG; CIMETIDINA  100MG; VITAMINA C   200MG,108.2,TIMOMODULINA EXTRATO
30 CAP | DOXICICLINA  100MG,56.0,DOXICICLINA
120 CAP | GLUTATIONA  70MG,138.6,GLUTATIONA
90 CAP | COENZIMA Q10 PO  100MG,144.7,COENZIMA Q10 PO
120 CAP | ACIDO ASCORBICO  1G; ZINCO  10MG,108.2,ACIDO ASCORBICO
30 CAP | CAFEINA BASE ANIDRA  250MG; CAPSIATE  5MG; GENGIBRE PO  200MG; PICOLINATO DE CROMO  400MCG; EVODIA EXT SECO 30%  15MG,65.0,CAFEINA BASE ANIDRA
60 CAP | FENOGREGO  600MG,175.0,FENOGREGO
90 CAP | VITAMINA D  7000UI,47.4,VITAMINA D
60 CAP | CHA VERDE EXT SECO  400MG,68.3,CHA VERDE EXT SECO
30 CAP | COLAGENO TIPO 2  40MG,56.1,COLAGENO TIPO 2
30 CAP | COENZIMA Q10 PO  150MG,85.1,COENZIMA Q10 PO
60 CAP | AMIDO  5MG,45.0,AMIDO
60 CAP | SELENIO QUELADO  50MCG; BOSWELLIA SERRATA  200MG; PANTOTENATO DE CALCIO  250MG; RUTINA  100MG; VITAMINA K1  25MCG; MANGANES QUELADO  3MG; ASCORBATO DE MAGNESIO  500MG; ALFA TOCOFEROL  400UI; RIBOFLAVINA  20MG; VIT A   5000UI,245.1,SELENIO QUELADO
60 CAP | MINOCICLINA  100MG,255.7,MINOCICLINA
60 CAP | ESPINHEIRA SANTA PO  200MG; CAMOMILA EXT SECO  100MG; BOLDO  100MG; CARQUEJA PO  80MG; ALCACHOFRA EXT SECO  80MG; SILIMARINA  120MG,64.7,ESPINHEIRA SANTA PO
60 CAP | OLI OLA 3%  150MG; PICNOGENOL  150MG; POLYPODIUM LEUCOTOMOS EXTRATO  250MG,196.4,OLI OLA 3%
60 CAP | TAURINA  500MG,43.6,TAURINA
60 CAP | METILFOLATO 1:10  400MCG; MAGNESIO   200MG; PIRIDOXAL-5-FOSFATO  20MG; QUERCETINA  250MG; COENZIMA Q10 PO  50MG; RIBOFLAVINA  20MG; SELENIO QUELADO  100MCG,174.0,METILFOLATO 1:10
30 CAP | MELOXICAM 7.500MG; CICLOBENZAPRINE  3MG,39.9,MELOXICAM 7.
30 CAP | BIFIDOBACTERIUM BREVE  75MG; BIFIDOBACTERIUM LACTIS  50MG; BIFIDOBACTERIUM LONGUM  65MG; BIFIDOBACTERIA BIFIDUM  45MG; BULGARICUS LACTOBACILLUS  20MG; CASEI LACTOBACILLUS  25MG; HELVETICUS LACTOBACILLUS  25MG; SALIVARIUS LACTOBACILLUS  30MG; ENTEROCOCCUS FAECIUM  50MG; LACTOCOCCUS LACTIS  50MG; SACCHAROMYCES BOULARDII  50MG; STREPTOCOCCUS TERMOPHILUS  50MG; XOS (XILOOLIGOSSACARIDEOS)  500MG,88.0,BIFIDOBACTERIUM BREVE
60 CAP | CACTI-NEA  500MG; CAVALINHA PO  150MG; CAPSIATE  6MG,179.0,CACTI-NEA
30 CAP | ZINCO  30MG; QUERCETINA  500MG,79.7,ZINCO
12 CAP | VITAMINA D  50000UI,39.9,VITAMINA D
